# LANDMARK 2019 radial B profile sampled along axial x.
# Columns: x_m Bx_T By_T Bz_T
0          0 0 0.006
0.00125    0 0 0.006933493855
0.0025     0 0 0.007865740543
0.00375    0 0 0.008716177203
0.005      0 0 0.009400806690
0.00625    0 0 0.009845678217
0.0075     0 0 0.010000000000
0.00875    0 0 0.009818180563
0.01       0 0 0.009294040100
0.01125    0 0 0.008487420673
0.0125     0 0 0.007485449907
0.01375    0 0 0.006387091885
0.015      0 0 0.005287264472
0.01625    0 0 0.004263991196
0.0175     0 0 0.003370805222
0.01875    0 0 0.002634957791
0.02       0 0 0.002060488958
0.02125    0 0 0.001634310111
0.0225     0 0 0.001333255160
0.02375    0 0 0.001130445420
0.025      0 0 0.001000000000
